project,has_finish
facebookresearch/MUSE,1
luanfujun/deep-photo-styletransfer,1
ageitgey/face_recognition,1
tensorflow/magenta,1
deepmind/sonnet,1
PAIR-code/deeplearnjs,1
lengstrom/fast-style-transfer,1
deepmind/pysc2,1
Microsoft/AirSim,1
PAIR-code/facets,1
lllyasviel/style2paints,1
tensorflow/tensor2tensor,1
junyanz/pytorch-CycleGAN-and-pix2pix,1
facebookresearch/faiss,1
zalandoresearch/fashion-mnist,1
facebookresearch/ParlAI,1
facebookresearch/fairseq,1
uber/pyro,1
junyanz/iGAN,1
DmitryUlyanov/deep-image-prior,1
oarriaga/face_classification,1
buriburisuri/speech-to-text-wavenet,1
yunjey/StarGAN,1
Unity-Technologies/ml-agents,1
AKSHAYUBHAT/DeepVideoAnalytics,1
OpenNMT/OpenNMT,1
NVIDIA/pix2pixHD,1
uber/horovod,1
MrNothing/AI-Blocks,1
deep-voice-conversion,1
